,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,515134,Balbharati School,Santoshi Mata Na Mandir Pase Chamanpura Asarwa,Gujarat,Ahmedabad Corporation,Central Zone,380016,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'aeb14ff0-d295-4ebf-9249-109051d54006', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 05:47:25.837711
1,515525,Jhangirpura,Jhangirpura School,Gujarat,Ahmedabad Corporation,Central Zone,380016,23,72,09:00:00,18:00:00,Free,"[{'session_id': '8aca3616-59df-4881-b50d-1641b3459f2a', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 05:47:25.837711
2,633874,MEGHANINAGAR HINDI SCHOOL NO 1,SAHID MUKESH RATHOD SCHOOL  MEGHANINAGAR SHAK MARKET,Gujarat,Ahmedabad Corporation,North Zone,380016,23,72,09:30:00,16:00:00,Free,"[{'session_id': '243898f7-d2f1-41be-92ed-fa602dc95cc8', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM']}]",2021-05-09 05:47:25.837711
0,515134,Balbharati School,Santoshi Mata Na Mandir Pase Chamanpura Asarwa,Gujarat,Ahmedabad Corporation,Central Zone,380016,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'aeb14ff0-d295-4ebf-9249-109051d54006', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 05:49:29.896891
1,515525,Jhangirpura,Jhangirpura School,Gujarat,Ahmedabad Corporation,Central Zone,380016,23,72,09:00:00,18:00:00,Free,"[{'session_id': '8aca3616-59df-4881-b50d-1641b3459f2a', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 05:49:29.896891
2,633874,MEGHANINAGAR HINDI SCHOOL NO 1,SAHID MUKESH RATHOD SCHOOL  MEGHANINAGAR SHAK MARKET,Gujarat,Ahmedabad Corporation,North Zone,380016,23,72,09:30:00,16:00:00,Free,"[{'session_id': '243898f7-d2f1-41be-92ed-fa602dc95cc8', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM']}]",2021-05-09 05:49:29.896891
0,515134,Balbharati School,Santoshi Mata Na Mandir Pase Chamanpura Asarwa,Gujarat,Ahmedabad Corporation,Central Zone,380016,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'aeb14ff0-d295-4ebf-9249-109051d54006', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 05:51:37.428633
1,515525,Jhangirpura,Jhangirpura School,Gujarat,Ahmedabad Corporation,Central Zone,380016,23,72,09:00:00,18:00:00,Free,"[{'session_id': '8aca3616-59df-4881-b50d-1641b3459f2a', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 05:51:37.428633
2,633874,MEGHANINAGAR HINDI SCHOOL NO 1,SAHID MUKESH RATHOD SCHOOL  MEGHANINAGAR SHAK MARKET,Gujarat,Ahmedabad Corporation,North Zone,380016,23,72,09:30:00,16:00:00,Free,"[{'session_id': '243898f7-d2f1-41be-92ed-fa602dc95cc8', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM']}]",2021-05-09 05:51:37.428633
0,515134,Balbharati School,Santoshi Mata Na Mandir Pase Chamanpura Asarwa,Gujarat,Ahmedabad Corporation,Central Zone,380016,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'aeb14ff0-d295-4ebf-9249-109051d54006', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 06:04:16.389750
