,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,517714,SABARMATI GUJARATI SCHOOL NO 7,RAMNAGAR NR POLICE STATION OPP H H PATEL HIGHSCHOOL,Gujarat,Ahmedabad Corporation,West Zone,380005,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ab2c31ee-eb66-4782-bb5b-0ded02683ced', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 06:04:16.462811
0,517714,SABARMATI GUJARATI SCHOOL NO 7,RAMNAGAR NR POLICE STATION OPP H H PATEL HIGHSCHOOL,Gujarat,Ahmedabad Corporation,West Zone,380005,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ab2c31ee-eb66-4782-bb5b-0ded02683ced', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 06:43:44.097355
0,517714,SABARMATI GUJARATI SCHOOL NO 7,RAMNAGAR NR POLICE STATION OPP H H PATEL HIGHSCHOOL,Gujarat,Ahmedabad Corporation,West Zone,380005,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ab2c31ee-eb66-4782-bb5b-0ded02683ced', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:00:55.786354
0,517714,SABARMATI GUJARATI SCHOOL NO 7,RAMNAGAR NR POLICE STATION OPP H H PATEL HIGHSCHOOL,Gujarat,Ahmedabad Corporation,West Zone,380005,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ab2c31ee-eb66-4782-bb5b-0ded02683ced', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:06:11.177959
0,517714,SABARMATI GUJARATI SCHOOL NO 7,RAMNAGAR NR POLICE STATION OPP H H PATEL HIGHSCHOOL,Gujarat,Ahmedabad Corporation,West Zone,380005,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ab2c31ee-eb66-4782-bb5b-0ded02683ced', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:11:47.668070
0,517714,SABARMATI GUJARATI SCHOOL NO 7,RAMNAGAR NR POLICE STATION OPP H H PATEL HIGHSCHOOL,Gujarat,Ahmedabad Corporation,West Zone,380005,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ab2c31ee-eb66-4782-bb5b-0ded02683ced', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:22:42.221118
0,517714,SABARMATI GUJARATI SCHOOL NO 7,RAMNAGAR NR POLICE STATION OPP H H PATEL HIGHSCHOOL,Gujarat,Ahmedabad Corporation,West Zone,380005,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ab2c31ee-eb66-4782-bb5b-0ded02683ced', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:34:07.985976
0,517714,SABARMATI GUJARATI SCHOOL NO 7,RAMNAGAR NR POLICE STATION OPP H H PATEL HIGHSCHOOL,Gujarat,Ahmedabad Corporation,West Zone,380005,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ab2c31ee-eb66-4782-bb5b-0ded02683ced', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 14:45:41.370524
0,517714,SABARMATI GUJARATI SCHOOL NO 7,RAMNAGAR NR POLICE STATION OPP H H PATEL HIGHSCHOOL,Gujarat,Ahmedabad Corporation,West Zone,380005,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ab2c31ee-eb66-4782-bb5b-0ded02683ced', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 15:13:25.702495
